anime_id,title,format,episodes,duration,status,genres,average_score,popularity,studios
118609,STUDY ME,MUSIC,1,5,FINISHED,,75,2337,
101343,Made in Abyss: Journey's Dawn,MOVIE,1,120,FINISHED,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",81,37311,"Kinema Citrus, KADOKAWA, Cygames, Takeshobo, AT-X, Sony Music Communications, Kanetsuu Investment, Global Solutions, Kadokawa Media House"
101344,Made in Abyss: Wandering Twilight,MOVIE,1,110,FINISHED,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",83,41380,Kinema Citrus
119781,Miko no Tsutome!,ONA,10,2,FINISHED,"Comedy, Slice of Life",53,847,Cover Corp
126676,PekoMiko Daisensou!!,MUSIC,1,4,FINISHED,Comedy,68,1403,Cover Corp
126663,Ahoy!! Warera Houshou Kaizoku-dan☆,MUSIC,1,2,FINISHED,Adventure,75,2917,Cover Corp
126819,Gintama: THE SEMI-FINAL,SPECIAL,2,24,FINISHED,"Action, Comedy",83,29345,Bandai Namco Pictures
114129,Gintama: THE VERY FINAL,MOVIE,1,104,FINISHED,"Action, Comedy, Drama, Sci-Fi",91,50327,"Bandai Namco Pictures, Shueisha, Aniplex, Warner Bros. Japan, Dentsu, TV Tokyo"
127957,Holy Knight Light,SPECIAL,1,10,FINISHED,"Action, Fantasy",70,2765,"Yostar Pictures, Hypergryph"
128539,#Aqua Iro Palette,MUSIC,1,5,FINISHED,Romance,69,1283,Cover Corp
128540,Koyoi wa Halloween Night!,MUSIC,1,2,FINISHED,Supernatural,66,955,Cover Corp
127971,Boku (Re-Arrange),MUSIC,1,5,FINISHED,,55,231,
127716,HOLOGRAM CIRCUS,MUSIC,1,5,FINISHED,,68,970,Cover Corp
128711,Shiny Smily Story,MUSIC,1,2,FINISHED,,64,787,Cover Corp
